Ebene,Nr.,Maßnahme,Datenschutzrisiko,PDCA,Gültigkeit
Daten,M11.D01,Inventur aller vorhandenen Daten-Formate vor dem Aufbewahren,normal,"P, D",V1.0
Daten,M11.D02,Festlegung und Dokumentation geeigneter Datenformate für die aufzubewahrenden Daten,normal,P,V1.0
Daten,M11.D03,"Definition der signifikanten Eigenschaften der im Langzeitspeicher abzulegenden Dokument-Typen, ihrer zukünftige Ziel- oder Nutzergruppe sowie der Art der zukünftigen Verwendung",normal,P,V1.0
Daten,M11.D04,"Festlegung von Art, Umfang und Format der mit aufzubewahrenden Metadaten",normal,P,V1.0
Daten,M11.D05,"Dokumentation und Archivierung der Schemata, welche die Struktur der genutzten Datenfelder und -typen beschreiben",normal,P,V1.0
Daten,M11.D06,Einhaltung der Vorkehrungen der eIDAS-Verordnung sowie des Vertrauensdienstegesetzes zur Sicherung der Authentizität und des Beweiswertes von Daten,normal,P,V1.0
Daten,M11.D07,Verschlüsselung gespeicherter Daten,hoch,"P, D",V1.0
Daten,M11.D08,Verwendung von Sidecar-Dateien,hoch,"P, D",V1.0
Daten,M11.D09,Fehlerkorrekturverfahren bei der Datenspeicherung,hoch,"P, D",V1.0
Systeme,M11.S01,Ausdruck von aufzubewahrenden Daten auf Papier,normal,D,V1.0
Systeme,M11.S02,Aufbewahrung der während der Verarbeitungsphase verwendeten Hard- und Softwarekomponenten für den Zeitraum der Langzeitspeicherung,normal,D,V1.0
Systeme,M11.S03,Einsatz von Virtualisierungs- oder Emulationstechniken zum Erhalt der Lauffähigkeit veralteter Software,normal,D,V1.0
Systeme,M11.S04,"Spezielle Zugriffsschutzmechanismen für Hard- und Softwarekomponenten, die nicht mehr dem Stand der Technik entsprechen",normal,"P, D",V1.0
Systeme,M11.S05,Überführung aufzubewahrender Daten in neue digitale Repräsentationen,normal,D,V1.0
Systeme,M11.S06,Redundante Vorhaltung von Datenbeständen,normal,"P, D",V1.0
Systeme,M11.S07,Räumlich verteilte Speicherung von Daten,normal,P,V1.0
Systeme,M11.S08,Parallele Nutzung unterschiedlicher Speichersysteme,normal,D,V1.0
Systeme,M11.S09,Regelmäßiges Ersetzen von Datenträgern und Speichersystemen,normal,D,V1.0
Systeme,M11.S10,Regelmäßige Migration auf andere Speichersysteme,normal,D,V1.0
Systeme,M11.S11,Bereitstellung der erforderlichen elektronischen Beweisdaten durch die Middleware,normal,"P, D",V1.0
Systeme,M11.S12,Backup- und Restore-Systeme für aufbewahrte Daten,normal,D,V1.0
Systeme,M11.S13,technische Systeme zur Realisierung von Mandantentrennungen,normal,P,V1.0
Systeme,M11.S14,Einsatz Beweiswert erhaltender Speichertechniken,normal,P,V1.0
Systeme,M11.S15,Unterbringung der technischen Komponenten in zertifizierten Hochsicherheitsrechenzentren,hoch,P,V1.0
Systeme,M11.S16,Integritäts- und Signaturprüfungen,hoch,P,V1.0
Systeme,M11.S17,Identitätsmanagementsysteme,hoch,D,V1.0
Systeme,M11.S18,Zwei-Faktor-Authentisierung,hoch,D,V1.0
Prozesse,M11.P01,Festlegung von Zuständigkeiten für alle Details des Aufbewahrens,normal,P,V1.0
Prozesse,M11.P02,Definition der Kriterien für die Auswahl der technischen Systeme zur Erhaltung der Daten,normal,P,V1.0
Prozesse,M11.P03,rechtzeitige Festlegung des Zeitpunktes der Konvertierung in das Aufbewahrungsformat bzw. der Migrationauf andere Speichersysteme,normal,P,V1.0
Prozesse,M11.P04,integritätssichernde Konvertierungstools,normal,"P, D",V1.0
Prozesse,M11.P05,Regeln zum Umgang mit versionierten Daten,normal,P,V1.0
Prozesse,M11.P06,"Dokumentation aller manipulierenden Operationen an den digitalen Objekten, die zur dauerhaften Aufbewahrung erforderlich sind",normal,D,V1.0
Prozesse,M11.P07,Sicherungs- und Rücksicherungs-Strategien,normal,P,V1.0
Prozesse,M11.P08,Prozess zur Prüfung der Einhaltung vorgegebener Fristen zur Wiederherstellung von Daten,normal,"P, D",V1.0
Prozesse,M11.P09,Prozess zur automatisierten Löschung,normal,"P, D",V1.0
