Nr.,Maßnahme,"P, D, C, A1",Gültigkeit
M51.D01,Festlegen und dokumentieren der personenbezogenen Daten in den einzelnen Verarbeitungsvorgängen,P,V1.0
M51.D02,"Festlegen und dokumentieren, zu welchen Zeitpunkten personenbezogene Daten verarbeitet werden dürfen (Fristen)","P, D, C",V1.0
M51.D03,Festlegen und dokumentieren der personenbezogenen Daten zur Authentisierung und Autorisierung,"P, D, C",V1.0
M51.D04,"Festlegen und dokumentieren, welche personenbezogenen Daten in welchen Speicherorten bzw. in welchen jeweiligen Systemen und Diensten verarbeitet werden","P, D, C",V1.0
M51.D05,Identifizieren und Festlegen von Rollen in Systemen und Diensten mit den hierfür benötigten Daten korrekte Umsetzung der Benutzerrollen und deren Berechtigungen in Systemen und Diensten testen und freigeben,"P, D, C",V1.0
M51.S01,"Modellieren und Dokumentieren der Verknüpfung zwischen Prozess- und Benutzerrollen","P, C",V1.0
M51.S02,"Trennen von Verarbeitungen mit unterschiedlichen Zwecken und Aufgaben auf fachlicher und auch entsprechend auf technischer Ebene","P, D, C",V1.0
M51.S03,"Absichern der wirksamen Umsetzung des RZB und RBK durch technische und organisatorische Maßnahmen","P, D, C",V1.0
M51.S04,"Erstellen eines Rollen und Berechtigungskonzepts, in dem Aufgaben das RZK und mit den technischen Funktionen des RBK verbunden werden","P, D, C",V1.0
M51.S05,Authentifizieren und Autorisierung umsetzen,"P, D, C, A",V1.0
M51.S06,"Konfigurieren der Systeme, Dienste und Prozesse beim Übergang von Projektbetrieb in Linienbetrieb","P, D, C",V1.0
M51.S07,"Dokumentieren der Verbindungen und Datenflüssen zwischen allen Systemen in Netzplänen","P, D",V1.0
M51.S08,"Dokumentieren der Datenflüsse (Schnittstellen, Protokolle, Flussrichtungen, Absicherungsmaßnahmen)","P, D",V1.0
M51.S09,Protokollieren von Administrationszugriffen,"P, D, C",V1.0
M51.S10,"Evaluieren der Systeme und Dienste, spätestens nach einem Update der Systeme und Dienste",C,V1.0
M51.S11,Authentifizierung per Single-Sign-On (SSO),"P, D",V1.0
M51.S12,"Verwalten von Benutzern für Computer für spezielle Zwecke (oft „Stand-Alone-Computer“)",,V1.0
M51.S13,"Revisionssicher nachweisen, zu welchem Zeitpunkt welchem Benutzer welche Rolle(n) zugewiesen oder entzogen wurden","P, D",V1.0
M51.S14,"Sichtbarmachung, Berechtigen und Protokollieren von technischen Systemnutzern","P, D",V1.0
M51.S15,"Etablierung von Prozessen und Systemen für die Registrierung bei direktem IT-Zugang für betroffene Personen","P, D",V1.0
M51.S16,"Befristen der Rollen bei Verarbeitungen mit hohem Risiko (zeitlich oder auch ereignisgesteuert)","P, D, C",V1.0
M51.S17,Protokollieren temporärer Befugnisse,"P, D, C",V1.0
M51.P01,Standardisieren der Aufgaben und Aktivitäten mit Hilfe von IT-gestützten Prozessen,"P, C",V1.0
M51.P02,"Analysieren und Dokumentieren der Verarbeitungstätigkeit mit den Aktivitäten Betriebsmitteln, personenbezogene Daten, Systemen und Diensten","P, C",V1.0
M51.P03,Definieren und Dokumentieren von Verarbeitungsvorgängen,"P, D",V1.0
M51.P04,"Definieren und Dokumentieren von Aufgaben und Funktionen, strukturiert nach Abteilungen bzw. Referaten sowie innerhalb dieser","P, D",V1.0
